date,BTC,ETH,USDT-USD,SPY,IVV,VTI,VOO,QQQ
2019-04-23,5597.01,175.34,1.0108200311660769,293.1400146484375,295.1099853515625,149.9199981689453,269.19000244140625,190.5399932861328
2019-04-24,5588.0,169.85540194,1.0189290046691897,293.1600036621094,295.1400146484375,150.0500030517578,269.2099914550781,190.7100067138672
2019-04-25,5488.66646742,165.36590699,1.0193829536437988,292.7799987792969,294.760009765625,149.69000244140625,268.8800048828125,191.22000122070312
2019-04-26,5505.45,162.51217745,0.9965699911117554,293.489990234375,295.5,150.16000366210938,269.5400085449219,190.69000244140625
2019-04-29,5335.21312182,159.18636837,1.002910017967224,294.45001220703125,296.4599914550781,150.69000244140625,270.4100036621094,191.32000732421875
2019-04-30,5338.00000018,162.78,1.0081909894943235,294.3399963378906,296.3299865722656,150.60000610351562,270.3099975585937,189.8500061035156
2019-05-01,5406.40595454,163.86770733,1.0098329782485962,294.95001220703125,296.92999267578125,150.8699951171875,270.8699951171875,191.32000732421875
2019-05-02,5535.0,163.38517716,1.006113052368164,292.70001220703125,294.67999267578125,149.74000549316406,268.79998779296875,189.8500061035156
2019-05-03,5850.70851039,170.36240626,1.0138870477676392,294.3399963378906,296.3299865722656,150.6999969482422,270.32000732421875,191.25
2019-05-06,5798.40173965,177.68404603,1.006266951560974,293.3099975585937,295.2799987792969,150.33999633789062,269.3599853515625,190.1999969482422
2019-05-07,6015.68442672,182.5,1.0102460384368896,290.8099975585937,292.7900085449219,149.08999633789062,267.0799865722656,188.6699981689453
2019-05-08,6010.02668376,173.00000001,1.0079469680786133,289.42999267578125,291.3800048828125,148.24000549316406,265.82000732421875,187.1699981689453
2019-05-09,6195.50000088,173.37920638,1.0036410093307495,287.3299865722656,289.239990234375,147.17999267578125,263.8399963378906,185.41000366210935
2019-05-10,6448.0,176.36719985,1.0061709880828855,288.94000244140625,290.8999938964844,147.9600067138672,265.3800048828125,185.88999938964844
2019-05-13,8100.0,208.0,1.014760971069336,283.489990234375,285.3999938964844,145.14999389648438,260.3399963378906,181.25999450683597
2019-05-14,8342.61065618,220.56000084,1.0113379955291748,285.1000061035156,287.0199890136719,145.91000366210938,261.82000732421875,181.6300048828125
2019-05-15,8242.45843065,249.73654,1.0082180500030518,285.7699890136719,287.70001220703125,146.27000427246094,262.45001220703125,183.5500030517578
2019-05-16,8320.0,278.82429508,1.0145930051803589,289.2099914550781,291.1700134277344,148.02999877929688,265.6000061035156,186.07000732421875
2019-05-17,7929.10385391,268.16519685,1.015159010887146,288.6000061035156,290.5400085449219,147.63999938964844,265.0199890136719,185.5800018310547
2019-05-20,8146.09814502,259.28236681,1.0207279920578003,285.9599914550781,287.3699951171875,145.9199981689453,262.1099853515625,181.17999267578125
2019-05-21,8028.07500712,262.0,1.0095720291137695,286.92999267578125,288.8599853515625,146.80999755859375,263.510009765625,182.3300018310547
2019-05-22,8000.0,260.0,1.0112810134887695,286.69000244140625,288.6000061035156,146.57000732421875,263.2900085449219,182.07000732421875
2019-05-23,7930.45,247.08916952,1.0063270330429075,283.2099914550781,285.1099853515625,144.85000610351562,260.1000061035156,179.02000427246094
2019-05-24,8117.44621983,254.14714717,1.0110210180282593,284.20001220703125,286.1199951171875,145.22999572753906,260.989990234375,179.85000610351562
2019-05-28,8795.08766306,275.63453034,1.0094009637832642,284.1499938964844,286.0799865722656,145.27999877929688,260.9599914550781,179.66000366210938
2019-05-29,8748.62120843,274.0,1.0055060386657717,279.3599853515625,281.20001220703125,142.8000030517578,256.5199890136719,177.0
2019-05-30,9050.46826904,288.0,1.0240709781646729,280.0400085449219,281.9200134277344,143.1699981689453,257.17999267578125,177.27000427246094
2019-05-31,8580.0,268.51,1.0066310167312622,277.1199951171875,278.9599914550781,141.58999633789062,254.4900054931641,175.2899932861328
2019-06-03,8732.89563132,269.81117384,1.0109930038452148,276.54998779296875,278.3900146484375,141.3800048828125,253.9600067138672,173.9499969482422
2019-06-04,8115.93591117,251.88236747,1.00757896900177,280.67999267578125,282.5799865722656,143.61000061035156,257.760009765625,174.97000122070312
2019-06-05,7893.22653188,248.39999999,1.0127350091934204,282.989990234375,284.8999938964844,144.82000732421875,259.8800048828125,176.61000061035156
2019-06-06,7853.48915972,250.75040481,1.0145909786224363,285.54998779296875,287.5,145.85000610351562,262.260009765625,178.0399932861328
2019-06-07,8093.24596995,253.8,1.011644959449768,288.8500061035156,290.8299865722656,147.4499969482422,265.2900085449219,181.7700042724609
2019-06-10,8010.0,246.8,1.010395050048828,290.82000732421875,292.8099975585937,148.57000732421875,267.1000061035156,184.8500061035156
2019-06-11,8010.0,247.8659385,1.0116809606552124,291.3999938964844,293.4200134277344,148.8300018310547,267.6499938964844,185.3999938964844
2019-06-12,8198.67750445,261.50000053,1.0116490125656128,289.260009765625,291.25,147.63999938964844,265.70001220703125,183.27999877929688
2019-06-13,8303.59999999,262.71053245,1.0084099769592283,289.9800109863281,291.9700012207031,148.08999633789062,266.3599853515625,183.8699951171875
2019-06-14,8700.0,264.0,1.0077500343322754,289.92999267578125,291.92999267578125,147.99000549316406,266.2900085449219,183.1100006103516
2019-06-17,9429.96026884,274.08223292,1.0095360279083252,290.2200012207031,290.45001220703125,147.6699981689453,266.5599975585937,184.25
2019-06-18,9327.01003269,273.58,1.0100899934768677,293.57000732421875,293.79998779296875,149.47000122070312,269.6600036621094,187.72000122070312
2019-06-19,9292.69376912,269.77270005,1.0046249628067017,293.6499938964844,293.8900146484375,149.49000549316406,269.7200012207031,187.52999877929688
2019-06-20,9580.00000001,273.4861728,1.0057519674301147,296.3099975585937,296.57000732421875,150.85000610351562,272.19000244140625,189.75999450683597
2019-06-21,10195.0,295.75099999,1.0097850561141968,295.5199890136719,297.20001220703125,150.94000244140625,272.7900085449219,189.7700042724609
2019-06-24,11133.56828818,314.25789335,1.0020040273666382,294.5799865722656,296.2699890136719,150.47000122070312,271.9200134277344,188.72000122070312
2019-06-25,11839.99999999,318.74608272,1.005223035812378,293.7300109863281,295.4100036621094,149.89999389648438,271.1300048828125,188.13999938964844
2019-06-26,13963.81,366.29706125,1.0124759674072266,292.3099975585937,293.989990234375,149.19000244140625,269.82000732421875,187.3300018310547
2019-06-27,13455.73782958,346.529991,1.006297945976257,292.0599975585937,293.7300109863281,149.1999969482422,268.19000244140625,186.94000244140625
2019-06-28,12483.38445048,313.28985019,1.006803035736084,293.54998779296875,295.2099914550781,150.1699981689453,269.54998779296875,187.1499938964844
2019-07-01,11262.5,303.12228271,1.0006489753723145,296.9200134277344,298.8800048828125,151.9199981689453,272.6499938964844,190.57000732421875
2019-07-02,10939.3455994,297.62566474,1.0060139894485474,296.489990234375,298.2300109863281,151.5,272.25,190.02999877929688
2019-07-03,11975.92246945,302.603497,1.0122580528259275,298.82000732421875,300.5199890136719,152.66000366210938,274.3699951171875,191.44000244140625
2019-07-05,11406.66059999,294.0958,1.006240963935852,298.6400146484375,300.3599853515625,152.6199951171875,274.25,191.3999938964844
2019-07-08,12344.7805097,313.20609322,1.0099879503250122,298.260009765625,299.04998779296875,152.02999877929688,273.0599975585937,189.8699951171875
2019-07-09,12779.52933984,317.671276,1.018833041191101,297.5199890136719,299.260009765625,152.08999633789062,273.2200012207031,190.8999938964844
2019-07-10,13154.26681399,314.0,1.0141750574111938,299.6600036621094,301.3900146484375,153.1300048828125,275.19000244140625,193.08999633789065
2019-07-11,12109.78900001,288.43045436,1.009433031082153,299.5799865722656,301.32000732421875,153.02999877929688,275.1099853515625,193.33999633789065
2019-07-12,11872.0,278.10607557,1.0102159976959229,300.7300109863281,302.489990234375,153.63999938964844,276.19000244140625,193.5399932861328
2019-07-15,11062.4,235.68888512,1.012110948562622,301.1300048828125,302.8900146484375,153.8300018310547,276.54998779296875,194.19000244140625
2019-07-16,11017.06664065,234.25383877,1.0124249458312988,300.8800048828125,302.6000061035156,153.6699981689453,276.2699890136719,194.08999633789065
2019-07-17,9946.83309319,219.2286995,1.01003098487854,299.92999267578125,301.6400146484375,153.1699981689453,275.3999938964844,193.4900054931641
2019-07-18,10765.00000002,229.42415543,1.0118720531463623,299.25,300.9599914550781,152.83999633789062,274.7900085449219,192.7899932861328
2019-07-19,10756.8539444,226.02887302,1.0196410417556765,300.07000732421875,301.82000732421875,153.27999877929688,275.5400085449219,193.8300018310547
2019-07-22,10679.34559944,228.56063432,1.0131690502166748,298.5,300.2099914550781,152.39999389648438,274.1099853515625,192.94000244140625
2019-07-23,10339.39403026,218.0212599,1.0042250156402588,300.0299987792969,301.760009765625,153.1999969482422,275.5,193.80999755859372
2019-07-24,9924.88247595,218.16799821,1.0097960233688354,301.44000244140625,303.1700134277344,154.14999389648438,276.7900085449219,195.16000366210935
2019-07-25,10170.97669335,225.0,1.0121389627456665,301.0,302.739990234375,153.9499969482422,276.4100036621094,194.5200042724609
2019-07-26,9881.18122022,220.24999999,1.008347988128662,302.2300109863281,303.9800109863281,154.50999450683594,277.54998779296875,195.5500030517578
2019-07-29,9730.0,215.23426409,1.0056370496749878,302.010009765625,303.67999267578125,154.3800048828125,277.2699890136719,195.17999267578125
2019-07-30,9709.25362324,213.72704139,1.0056790113449097,301.1700134277344,302.8999938964844,154.0,276.5599975585937,194.5399932861328
2019-07-31,10118.15033589,218.53234497,1.0077810287475586,301.20001220703125,302.94000244140625,154.11000061035156,276.6099853515625,194.42999267578125
2019-08-01,10462.18460001,219.0,1.0091899633407593,300.8699951171875,302.6000061035156,153.85000610351562,276.2799987792969,194.97999572753903
2019-08-02,10663.19007842,222.28524766,1.0141839981079102,294.1199951171875,295.8099975585937,150.41000366210938,270.0799865722656,188.9900054931641
2019-08-05,11923.86475,235.93855912,1.0153449773788452,288.2099914550781,289.8500061035156,147.25,264.67999267578125,183.50999450683597
2019-08-06,12300.05713911,238.94568605,1.020617961883545,288.0400085449219,289.69000244140625,147.0800018310547,264.4700012207031,183.8000030517578
2019-08-07,12135.00000001,231.0,1.0140180587768557,288.82000732421875,290.4599914550781,147.52999877929688,265.2300109863281,184.50999450683597
2019-08-08,12079.60499462,226.69540101,1.003546953201294,293.6199951171875,295.2799987792969,150.02000427246094,269.5899963378906,188.32000732421875
2019-08-09,12040.000001,221.63462207,1.0045499801635742,293.239990234375,294.95001220703125,149.7899932861328,269.2900085449219,188.0
2019-08-12,11568.03446366,215.99400231,1.002985954284668,291.6099853515625,292.2099914550781,148.25999450683594,266.7900085449219,185.8999938964844
2019-08-13,11451.521168,211.55525054,1.0011459589004517,294.1499938964844,295.8399963378906,150.0800018310547,270.1000061035156,189.67999267578125
2019-08-14,10896.03140608,209.52292363,1.0087660551071167,288.739990234375,290.4100036621094,147.1999969482422,265.1499938964844,185.9499969482422
2019-08-15,10445.99999999,189.6880493,1.0060479640960691,285.6400146484375,287.239990234375,145.66000366210938,262.2699890136719,183.58999633789065
2019-08-16,10520.0,188.0,1.0094209909439087,289.3299865722656,291.010009765625,147.60000610351562,265.67999267578125,185.9499969482422
2019-08-19,10929.8,203.37932563,1.0080519914627075,293.0799865722656,294.7699890136719,149.47999572753906,269.1400146484375,188.8300018310547
2019-08-20,10942.17,202.64999999,1.006229043006897,292.3599853515625,294.0199890136719,149.02999877929688,268.489990234375,188.63999938964844
2019-08-21,10799.53171858,197.07999996,1.0124560594558716,292.8599853515625,294.57000732421875,149.39999389648438,268.92999267578125,189.22999572753903
2019-08-22,10229.23754879,194.98999999,1.0150070190429688,293.92999267578125,295.6300048828125,149.89999389648438,269.9100036621094,189.4600067138672
2019-08-23,10441.70679653,195.98,1.0073399543762207,292.760009765625,294.45001220703125,149.3000030517578,268.8399963378906,188.4499969482422
